ID,PartnerType_ID,Dim_id,valid_to,Valid_from,Dim_Status,Dim_Status_Reason
30000000-0000-0000-0000-000000000001,20000000-0000-0000-0000-000000000001,YABC,9999-12-31,2023-01-01,E0005,
30000000-0000-0000-0000-000000000002,20000000-0000-0000-0000-000000000001,YDEF,9999-12-31,2023-01-01,E0005,
30000000-0000-0000-0000-000000000003,20000000-0000-0000-0000-000000000002,YDEF,9999-12-31,2024-06-01,E0004,Solution competency assessment in progress
30000000-0000-0000-0000-000000000004,20000000-0000-0000-0000-000000000002,YGHI,9999-12-31,2024-06-01,E0001,Requested by partner
30000000-0000-0000-0000-000000000005,20000000-0000-0000-0000-000000000003,YABC,9999-12-31,2022-03-15,E0005,
30000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000003,YGHI,9999-12-31,2022-03-15,E0007,Removed after partner review
30000000-0000-0000-0000-000000000007,20000000-0000-0000-0000-000000000004,YABC,9999-12-31,2023-07-01,E0002,Partner chose not to proceed with this dimension
30000000-0000-0000-0000-000000000008,20000000-0000-0000-0000-000000000005,YABC,9999-12-31,2025-01-01,E0001,
30000000-0000-0000-0000-000000000009,20000000-0000-0000-0000-000000000006,YABC,2023-12-31,2020-01-01,E0010,Discontinued with membership
30000000-0000-0000-0000-000000000010,20000000-0000-0000-0000-000000000007,YDEF,9999-12-31,2024-09-01,E0004,Under competency evaluation
30000000-0000-0000-0000-000000000011,20000000-0000-0000-0000-000000000007,YGHI,9999-12-31,2024-09-01,E0001,Requested
